City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
309,Mount Isa,AU,-20.7333,139.5,53.37,50,89,10.36,overcast clouds
310,Dwarka,IN,22.2394,68.9678,83.23,74,26,10.71,scattered clouds
311,Batticaloa,LK,7.7102,81.6924,81.34,72,100,3.33,overcast clouds
312,Vrangel,RU,42.7297,133.0839,54.86,90,47,7.87,scattered clouds
313,Saint-Augustin,CA,51.226,-58.6502,59.77,69,82,14.38,broken clouds
314,Bathsheba,BB,13.2167,-59.5167,83.01,74,40,23.02,scattered clouds
315,Truth Or Consequences,US,33.1284,-107.2528,100.63,10,0,18.41,clear sky
316,Comodoro Rivadavia,AR,-45.8667,-67.5,57.06,23,0,5.75,clear sky
317,Hofn,IS,64.2539,-15.2082,50.56,75,100,11.23,light rain
318,Rodez,FR,44.5,2.5833,73.08,53,26,6.91,scattered clouds
319,Saldanha,ZA,-33.0117,17.9442,59.05,83,85,11.45,overcast clouds
320,Horki,BY,54.2861,30.9842,58.01,96,22,7.27,few clouds
321,Vostok,RU,46.4856,135.8833,59.56,62,0,2.35,clear sky
322,Ostrovnoy,RU,68.0531,39.5131,50.95,73,54,15.21,broken clouds
323,Arrecife,ES,28.963,-13.5477,71.58,78,75,13.8,broken clouds
324,Aden,YE,12.7794,45.0367,88.65,63,63,5.37,broken clouds
325,Teguldet,RU,57.3064,88.1667,63.45,98,100,6.51,overcast clouds
326,Hovd,MN,48.0056,91.6419,62.89,43,14,5.75,few clouds
327,Altay,CN,47.8667,88.1167,69.24,38,43,7.43,scattered clouds
328,Asau,RO,46.4333,26.4,63.95,100,94,5.37,overcast clouds
329,Barbalha,BR,-7.3111,-39.3042,75.0,88,40,8.05,scattered clouds
330,Bambanglipuro,ID,-7.95,110.2833,74.84,94,85,4.9,overcast clouds
331,Ilhabela,BR,-23.7781,-45.3581,63.43,84,100,3.85,overcast clouds
332,Verkhnevilyuysk,RU,63.4453,120.3167,51.1,73,100,4.68,light rain
333,Uige,AO,-7.6087,15.0613,62.6,45,1,3.53,clear sky
334,Bull Savanna,JM,17.8868,-77.5902,80.58,73,90,11.01,overcast clouds
335,Mayya,RU,61.7333,130.2811,63.32,63,100,6.04,overcast clouds
336,Longyearbyen,SJ,78.2186,15.6401,37.24,81,100,6.91,overcast clouds
